Model,Remaining Features,Dropped Feature,R^2 (mean),R^2 (std),MAE (mean),MAE (std),MSE (mean),MSE (std),RMSE (mean),MAPE (mean),Accuracy (%),Training Time (s)
Linear Regression,17,I_c,0.081360621,0.389474298,0.483221052,0.036710682,0.557338162,0.249089164,0.746550844,6.985781332,86.82432432,0.02351284
Ridge Regression,17,I_c,0.344239095,0.103367941,0.491989929,0.091039756,0.417277331,0.171777392,0.645970069,7.163895871,86.14864865,0.026001453
Bayesian Ridge,17,I_c,0.203891305,0.210040985,0.492976777,0.069151035,0.495132813,0.176063969,0.703656744,7.127714898,85.81081081,0.026546717
Lasso Regression,17,I_c,0.291184159,0.164881816,0.54055172,0.151840332,0.481744394,0.308987867,0.694078089,7.791272,85.47297297,0.024001122
Elastic Net,17,I_c,0.288736618,0.123741929,0.520246564,0.132640256,0.471037589,0.254404023,0.686321782,7.499271369,85.47297297,0.013999224
Orthogonal Matching Pursuit,17,I_c,0.148266425,0.239263124,0.582770485,0.178593784,0.603213582,0.431849802,0.776668257,8.310470663,84.45945946,0.014002085
k-Nearest Neighbors Regressor,17,I_c,0.340601086,0.13710119,0.459163842,0.144824548,0.431353672,0.22323791,0.656775207,6.652858215,88.17567568,0.024994612
Decision Tree Regressor,17,I_c,0.134785001,0.304143427,0.441242938,0.205314186,0.575141243,0.385613811,0.758380672,6.410204848,93.24324324,0.024539948
Random Forest Regressor,17,I_c,0.529894476,0.089507942,0.394464407,0.092773503,0.296673828,0.119082834,0.544677728,5.747529896,93.91891892,0.423174143
Extra Trees Regressor,17,I_c,0.521534387,0.119251616,0.390626554,0.086850919,0.295026028,0.102070001,0.543162985,5.734421922,91.55405405,0.177631378
Gradient Boosting Regressor,17,I_c,0.548300818,0.114223166,0.36310985,0.088367668,0.277485457,0.09311049,0.526768883,5.303520737,93.24324324,2.065946817
AdaBoost Regressor,17,I_c,0.426513495,0.243729226,0.496390966,0.072504975,0.336211612,0.108422504,0.579837574,7.510426003,91.89189189,0.144524097
XGBoost Regressor,17,I_c,0.542223954,0.09990055,0.379802226,0.084762509,0.282037162,0.089880969,0.531071711,5.540120088,92.56756757,0.487922668
LightGBM Regressor,17,I_c,0.548428438,0.093391466,0.385031676,0.086928507,0.279570462,0.088624855,0.528744231,5.663628108,92.90540541,0.105000496
Linear Regression,16,sa0.2,0.170232897,0.282281182,0.473900538,0.035663581,0.500240809,0.176839243,0.707277038,6.864542918,86.82432432,0.0260005
Ridge Regression,16,sa0.2,0.346877745,0.10173558,0.492217205,0.090566378,0.415475466,0.169867115,0.644573864,7.165559969,86.48648649,0.025995731
Bayesian Ridge,16,sa0.2,0.22979132,0.186423947,0.489857999,0.069091274,0.478547472,0.163737106,0.691771257,7.087917032,86.14864865,0.024996281
Lasso Regression,16,sa0.2,0.292077698,0.164560698,0.540259087,0.151959191,0.481344465,0.309169409,0.693789929,7.787190587,85.47297297,0.0260005
Elastic Net,16,sa0.2,0.289743493,0.123945274,0.519632507,0.133667523,0.470549763,0.254705205,0.685966299,7.487739019,85.47297297,0.025000095
Orthogonal Matching Pursuit,16,sa0.2,0.148266425,0.239263124,0.582770485,0.178593784,0.603213582,0.431849802,0.776668257,8.310470663,84.45945946,0.013998747
k-Nearest Neighbors Regressor,16,sa0.2,0.340872858,0.124262003,0.457141243,0.143278617,0.429096045,0.21524165,0.655054231,6.639451952,88.85135135,0.025001049
Decision Tree Regressor,16,sa0.2,0.118394454,0.399242087,0.447683616,0.245735462,0.634689266,0.567850924,0.796673877,6.435676748,92.56756757,0.023983002
Random Forest Regressor,16,sa0.2,0.519747263,0.105699122,0.396235593,0.09390051,0.301181935,0.119344858,0.548800451,5.770702622,93.24324324,0.520447493
Extra Trees Regressor,16,sa0.2,0.528654217,0.115070918,0.389668362,0.088914935,0.290660537,0.100010851,0.539129425,5.718012656,91.55405405,0.176187277
Gradient Boosting Regressor,16,sa0.2,0.552724732,0.111712719,0.361461134,0.089401606,0.274860731,0.091225524,0.52427162,5.287301535,93.24324324,1.994779825
AdaBoost Regressor,16,sa0.2,0.451917398,0.22850761,0.491747939,0.076795087,0.325935683,0.115977067,0.570907771,7.437902201,93.24324324,0.146049976
XGBoost Regressor,16,sa0.2,0.527935779,0.131182748,0.372681483,0.068268567,0.285223183,0.084126208,0.534062902,5.424914636,92.56756757,0.571070433
LightGBM Regressor,16,sa0.2,0.554225905,0.111632515,0.374627752,0.083258952,0.273276953,0.08557124,0.522758981,5.525206431,92.22972973,0.104997873
Linear Regression,15,Tavg_h,0.022423374,0.480778622,0.490208286,0.034150293,0.584752793,0.297642627,0.764691305,7.068530665,88.51351351,0.024004459
Ridge Regression,15,Tavg_h,0.343217723,0.10964841,0.492281274,0.09313852,0.416826611,0.169519749,0.645621105,7.162350299,86.82432432,0.024998903
Bayesian Ridge,15,Tavg_h,0.170026262,0.246431291,0.498455433,0.073852325,0.51417802,0.191007546,0.717062075,7.210027322,87.5,0.015001774
Lasso Regression,15,Tavg_h,0.292074852,0.164557778,0.540260129,0.151958767,0.481346206,0.309168549,0.693791184,7.787206139,85.47297297,0.013998985
Elastic Net,15,Tavg_h,0.290495491,0.125221232,0.519107916,0.1339484,0.470083997,0.255000531,0.685626719,7.478928672,85.47297297,0.012998343
Orthogonal Matching Pursuit,15,Tavg_h,0.148266425,0.239263124,0.582770485,0.178593784,0.603213582,0.431849802,0.776668257,8.310470663,84.45945946,0.013999701
k-Nearest Neighbors Regressor,15,Tavg_h,0.388484134,0.131860543,0.431762712,0.102501188,0.379410169,0.132017893,0.615962799,6.265551266,91.21621622,0.025002003
Decision Tree Regressor,15,Tavg_h,0.160288742,0.261535755,0.437909605,0.189795228,0.584915254,0.432990443,0.764797525,6.191012441,93.91891892,0.025000095
Random Forest Regressor,15,Tavg_h,0.534766353,0.116367285,0.386833333,0.080030879,0.285749658,0.095454267,0.534555571,5.651135511,93.58108108,0.39951849
Extra Trees Regressor,15,Tavg_h,0.537140827,0.116999413,0.383496045,0.095941562,0.28799087,0.109084311,0.536647808,5.62589822,93.24324324,0.166986704
Gradient Boosting Regressor,15,Tavg_h,0.547134336,0.104761198,0.36576894,0.095789516,0.280639288,0.099739431,0.529753988,5.34439312,93.24324324,2.075627565
AdaBoost Regressor,15,Tavg_h,0.440361259,0.224575777,0.498813663,0.062669699,0.326413812,0.090086935,0.571326362,7.580463605,92.56756757,0.144848585
XGBoost Regressor,15,Tavg_h,0.516144586,0.09162867,0.385069531,0.076788521,0.295882622,0.079543387,0.543950937,5.605738246,91.55405405,0.520856142
LightGBM Regressor,15,Tavg_h,0.554834955,0.099736352,0.380333411,0.097871051,0.27876648,0.105955528,0.527983409,5.592343665,92.56756757,0.114507675
Linear Regression,14,I_z,0.038388312,0.448534648,0.488346214,0.034219237,0.574984462,0.27664842,0.758277299,7.043859381,88.51351351,0.024996042
